192.168.1.1,192.168.2.2,10
192.168.1.1,192.168.3.3,10
192.168.1.1,192.168.4.4,10
192.168.1.1,192.168.5.5,10
192.168.1.1,192.168.9.9,10
192.168.2.2,192.168.3.3,10
192.168.2.2,192.168.4.4,10
192.168.2.2,192.168.5.5,10
192.168.2.2,192.168.9.9,10
192.168.3.3,192.168.4.4,10
192.168.3.3,192.168.5.5,10
192.168.3.3,192.168.9.9,10
192.168.4.4,192.168.5.5,10
192.168.4.4,192.168.9.9,10
192.168.5.5,192.168.9.9,10
192.168.1.1,192.168.11.11,4
192.168.1.1,102.168.22.22,14
192.168.2.2,192.168.11.11,4
192.168.2.2,102.168.22.22,15
192.168.3.3,192.168.11.11,4
192.168.3.3,102.168.22.22,14
192.168.4.4,192.168.11.11,4
192.168.4.4,102.168.22.22,14
192.168.5.5,192.168.11.11,4
192.168.5.5,102.168.22.22,14
192.168.11.11,192.168.22.22,18